"ID","Age","Gender","SPscore"
1,14,"1",51.57
2,15,"2",52.37
3,15,"2",58.81
4,13,"1",55.59
5,9,"1",66.2
6,15,"2",59.55
7,11,"2",48.13
8,10,"2",54.01
9,10,"1",59.38
10,17,"2",47.59
11,12,"1",50.42
12,12,"1",58.63
13,10,"2",48.24
14,11,"2",53.82
15,14,"2",49.69
16,14,"1",45.62
17,14,"2",60.9
18,17,"1",37.02
19,10,"2",49.22
20,16,"1",46.49
21,14,"2",66.82
22,16,"1",54.84
23,12,"2",62.4
24,9,"2",60.47
25,10,"2",52.65
26,10,"2",45.16
27,9,"2",62.91
28,15,"1",53.76
29,15,"2",49.73
30,9,"2",41.18
31,15,"1",58.95
32,16,"2",54.86
33,13,"2",42.3
34,10,"1",61.82
35,9,"1",60.18
36,9,"1",60.13
37,9,"1",56.04
38,13,"2",60.71
39,17,"2",55.85
40,10,"2",56.69
41,12,"2",44.66
42,12,"2",55.55
43,15,"1",51.31
44,9,"2",46.89
45,14,"2",59.23
46,8,"2",56.79
47,16,"1",67.49
48,12,"2",52.64
49,8,"1",45.88
50,8,"2",50.45
51,12,"2",58.06
52,16,"2",67.23
53,15,"2",54.74
54,16,"1",56.47
55,14,"2",62.33
56,14,"1",55.61
57,16,"1",38.01
58,12,"2",48.33
59,11,"1",51.91
60,15,"1",55.13
61,16,"1",55.92
62,15,"1",60.88
63,14,"1",48.18
64,15,"1",52.82
65,12,"1",52.29
66,9,"1",64.3
67,16,"1",56.12
68,16,"1",53.06
69,16,"2",41.09
70,11,"2",64.45
71,9,"1",53.99
72,17,"1",48.18
73,9,"1",55.15
74,15,"2",64.69
75,14,"2",57.28
76,12,"2",52.68
77,13,"2",50.32
78,17,"2",57.66
79,10,"2",50.86
80,15,"1",65.1
81,15,"1",58.61
82,11,"1",46.92
83,9,"1",53.53
84,17,"1",48.85
85,10,"1",55.99
86,16,"1",51.2
87,12,"2",45.95
88,10,"2",62.67
89,16,"1",59.26
90,9,"2",61.74
91,12,"1",56.29
92,10,"2",53.76
93,16,"2",57.91
94,16,"1",54.68
95,13,"2",59.86
96,16,"2",66.72
97,16,"1",56.12
98,10,"2",54.97
99,14,"1",57.33
100,15,"2",47.21
101,15,"1",61.4
102,9,"2",53.45
103,15,"1",50.12
104,8,"1",48.45
105,9,"1",50.27
106,10,"2",52.76
107,8,"1",48.23
108,15,"1",56.19
109,9,"1",50.52
110,13,"3",72.76
111,13,"2",50.83
112,15,"1",60.65
113,14,"1",57.25
114,10,"1",47.25
115,15,"3",55.31
116,14,"2",57.59
117,16,"2",61.25
118,10,"1",59.57
119,15,"1",61.21
120,10,"2",51.54
121,10,"2",56.14
122,17,"1",44.26
123,11,"1",57.7
124,14,"2",53.76
125,15,"1",58.65
126,8,"2",46.05
127,16,"1",64.68
128,12,"2",54.56
129,12,"1",52.06
130,16,"1",47.86
131,10,"1",55.15
132,11,"2",45.93
133,15,"1",49.43
134,16,"1",54.39
135,12,"1",52.18
136,16,"2",58.57
137,12,"1",62.39
138,17,"1",38.3
139,16,"1",57.52
140,12,"1",60.64
141,11,"3",65.08
142,10,"1",55.14
143,15,"1",64.34
144,17,"3",51.23
145,12,"1",59.68
146,16,"1",56.61
147,17,"1",58.14
148,11,"1",57.71
149,14,"2",59.6
150,15,"2",65.22
151,8,"2",39.6
152,10,"1",63.35
153,9,"1",54.83
154,16,"2",59.19
155,14,"2",51.97
156,9,"2",62.77
157,15,"1",59.88
158,9,"2",58.46
159,12,"2",56.63
160,14,"2",45.07
161,11,"1",53.49
162,9,"2",40.5
163,15,"2",59.16
164,16,"1",51.34
165,11,"2",46.16
166,13,"2",48.29
167,12,"2",58.8
168,13,"1",41.67
169,11,"1",63.35
170,13,"1",45.02
171,14,"2",37.67
172,11,"1",41
173,10,"2",59.62
174,11,"2",45.24
175,13,"2",52.63
176,8,"1",52.81
177,10,"1",49.39
178,17,"1",56.29
179,14,"1",46.77
180,14,"2",61.77
181,13,"1",54.17
182,16,"2",49.18
183,13,"1",52.9
184,10,"2",45.43
185,8,"1",54.82
186,9,"1",67.42
187,17,"2",56.95
188,14,"1",50.28
189,15,"2",52.96
190,15,"2",44.97
191,10,"1",58.65
192,17,"2",51.89
193,12,"2",56.23
194,16,"3",51.38
195,12,"2",53.06
196,9,"1",44.69
197,14,"2",44.1
198,8,"1",58.26
199,15,"2",50.17
200,13,"1",49.87
201,10,"1",54.61
202,12,"2",42.89
203,13,"2",60.21
204,11,"1",54.87
205,15,"2",55.1
206,11,"1",56.43
207,14,"2",51.78
208,9,"2",55.39
209,16,"2",57.18
210,10,"1",44.11
211,8,"2",45.13
212,13,"2",45.88
213,14,"1",34.67
214,11,"1",54.16
215,8,"2",59.42
216,10,"1",57.02
217,14,"2",43.13
218,16,"1",58.79
219,16,"1",66.69
220,17,"1",56.58
221,9,"1",51.02
222,13,"2",50.33
223,13,"1",60.22
224,14,"2",54.65
225,12,"1",56.5
226,13,"2",46.86
227,17,"1",56.58
228,14,"1",49.34
229,10,"2",61.81
230,11,"1",62.21
231,16,"1",61.62
232,9,"2",39.64
233,13,"1",67.81
234,14,"1",52.42
235,12,"2",53.39
236,15,"2",58.56
237,10,"2",56.1
238,10,"1",47.21
239,13,"1",60.89
240,12,"2",47.72
241,9,"1",58.98
242,12,"1",57.83
243,9,"2",55.65
244,14,"1",58.3
245,15,"2",56.53
246,14,"2",56.2
247,11,"2",51.11
248,12,"2",55.19
249,16,"1",56.17
250,8,"1",54.49
