infantGender,infantAge,Transport,vocalisationTime,RM_buggy,RM_backpack
F,21.68,Buggy,19.98,15.44,12.58
M,36.75,Buggy,16.38,8.64,11.99
M,44.96,Buggy,12.9,17.02,16.37
M,32.46,Buggy,13.66,16.32,19.39
F,34,Buggy,9.36,13.32,10.44
F,27.55,Buggy,14.31,13.43,13.52
F,25.61,Buggy,13.2,5.95,15.66
M,39.59,Buggy,13.66,9.87,13.54
M,22.98,Buggy,15.95,16.24,19.04
F,32.34,Buggy,15.09,12.3,13.4
M,26.74,Buggy,9.75,17.05,16.81
F,40.29,Buggy,13.58,9.11,13.31
F,33.97,Buggy,14.57,9.14,7.12
F,36.34,Buggy,11.64,15.74,18.78
F,34.54,Buggy,14.66,18.03,18.82
M,32.15,Buggy,15.31,17.47,19.05
M,35.81,Buggy,12.94,16.03,16.62
F,35.17,Buggy,14.57,13.76,14.12
M,35.28,Backpack,19.24,10.36,18.15
F,36.27,Backpack,16.26,17.04,18.9
M,40.15,Backpack,21.07,12.58,13.74
F,33.27,Backpack,18.18,10.74,13.6
M,35.9,Backpack,25.6,19.5,22.12
M,36.49,Backpack,17.91,9.03,15.96
M,41.07,Backpack,20.28,10.46,11.28
M,34.88,Backpack,18.85,13.6,12.34
F,21.15,Backpack,16.71,16.23,15.32
M,36.72,Backpack,17.12,18.36,23.21
M,26.49,Backpack,15.57,11.02,15.68
M,35.82,Backpack,12.06,9.42,7.49
M,35.24,Backpack,17.77,14.46,13.45
M,33.32,Backpack,14.33,18.62,14.22
F,28.73,Backpack,20.59,16.42,17.49
M,33.51,Backpack,14.11,16.46,12.17
M,34.78,Backpack,19.96,14.76,16.77
F,27.25,Backpack,25.51,13.73,10.12
