"Before","After","Condition","ID","Age","Gender"
62,80,"0",1,13,"Female"
105,97,"0",2,9,"Male"
84,110,"0",3,7,"Female"
80,121,"0",4,13,"Female"
79,75,"0",5,6,"Female"
121,95,"0",6,8,"Female"
70,88,"0",7,11,"Female"
57,97,"0",8,9,"Female"
84,66,"0",9,11,"Male"
79,103,"0",10,6,"Male"
76,64,"0",11,13,"Male"
86,55,"0",12,11,"Female"
106,96,"0",13,9,"Male"
71,98,"0",14,5,"Female"
100,95,"0",15,9,"Female"
119,107,"0",16,6,"Female"
105,86,"0",17,8,"Male"
30,52,"0",18,5,"Female"
70,85,"0",19,10,"Female"
41,43,"0",20,10,"Male"
69,69,"0",21,11,"Female"
101,74,"0",22,11,"Male"
65,71,"0",23,6,"Male"
79,54,"0",24,9,"Female"
71,109,"0",25,14,"Female"
107,105,"0",26,13,"Female"
61,91,"0",27,10,"Female"
99,94,"0",28,10,"Female"
91,77,"0",29,5,"Male"
84,88,"0",30,12,"Male"
78,93,"0",31,5,"Male"
74,96,"0",32,10,"Female"
47,74,"0",33,13,"Female"
100,115,"0",34,7,"Male"
75,87,"0",35,9,"Female"
114,87,"0",36,13,"Male"
84,93,"0",37,11,"Female"
92,78,"0",38,13,"Female"
114,121,"0",39,14,"Female"
56,83,"0",40,13,"Male"
67,72,"0",41,10,"Female"
81,83,"0",42,7,"Male"
85,88,"0",43,12,"Female"
65,55,"0",44,8,"Male"
67,66,"0",45,9,"Female"
94,109,"0",46,8,"Female"
93,90,"0",47,9,"Female"
93,105,"0",48,10,"Female"
77,77,"0",49,8,"Male"
65,65,"0",50,8,"Male"
119,87,"1",51,10,"Male"
71,52,"1",52,6,"Male"
78,80,"1",53,9,"Male"
43,47,"1",54,12,"Male"
79,41,"1",55,5,"Male"
68,56,"1",56,14,"Male"
81,55,"1",57,13,"Male"
72,75,"1",58,6,"Male"
90,76,"1",59,10,"Female"
110,83,"1",60,13,"Male"
118,112,"1",61,9,"Male"
72,72,"1",62,6,"Female"
68,95,"1",63,9,"Male"
73,82,"1",64,7,"Male"
48,68,"1",65,12,"Female"
65,62,"1",66,12,"Female"
54,30,"1",67,6,"Female"
103,107,"1",68,6,"Male"
74,80,"1",69,9,"Female"
93,92,"1",70,11,"Female"
55,48,"1",71,5,"Male"
110,89,"1",72,6,"Male"
87,96,"1",73,6,"Male"
64,62,"1",74,8,"Female"
86,64,"1",75,11,"Female"
69,74,"1",76,7,"Female"
86,78,"1",77,7,"Female"
75,83,"1",78,13,"Male"
77,53,"1",79,10,"Male"
73,54,"1",80,12,"Female"
71,100,"1",81,6,"Female"
75,99,"1",82,12,"Female"
65,61,"1",83,10,"Female"
121,99,"1",84,6,"Male"
41,37,"1",85,13,"Female"
88,69,"1",86,8,"Male"
76,99,"1",87,9,"Female"
98,66,"1",88,9,"Male"
78,85,"1",89,13,"Male"
95,83,"1",90,10,"Male"
69,74,"1",91,6,"Male"
87,98,"1",92,5,"Male"
55,73,"1",93,11,"Male"
74,90,"1",94,11,"Female"
102,84,"1",95,13,"Male"
84,99,"1",96,5,"Male"
112,88,"1",97,8,"Male"
76,63,"1",98,11,"Female"
79,86,"1",99,6,"Female"
80,76,"1",100,9,"Male"
86,85,"2",101,11,"Male"
114,77,"2",102,7,"Male"
79,75,"2",103,5,"Female"
76,76,"2",104,6,"Female"
50,64,"2",105,10,"Female"
105,110,"2",106,14,"Female"
101,66,"2",107,10,"Male"
73,73,"2",108,7,"Male"
73,52,"2",109,8,"Female"
104,96,"2",110,10,"Female"
79,63,"2",111,11,"Male"
61,68,"2",112,7,"Female"
82,69,"2",113,5,"Female"
55,49,"2",114,10,"Female"
95,78,"2",115,13,"Male"
63,74,"2",116,7,"Male"
61,56,"2",117,10,"Male"
97,92,"2",118,8,"Female"
85,83,"2",119,5,"Male"
99,84,"2",120,9,"Male"
66,61,"2",121,6,"Female"
83,80,"2",122,9,"Female"
50,43,"2",123,11,"Male"
108,85,"2",124,13,"Male"
108,75,"2",125,12,"Female"
93,84,"2",126,13,"Male"
81,68,"2",127,5,"Male"
76,82,"2",128,6,"Male"
70,48,"2",129,9,"Female"
83,121,"2",130,13,"Male"
94,75,"2",131,9,"Female"
79,83,"2",132,5,"Male"
34,35,"2",133,5,"Male"
87,103,"2",134,12,"Female"
95,94,"2",135,8,"Male"
89,65,"2",136,9,"Male"
60,41,"2",137,8,"Male"
105,116,"2",138,9,"Male"
68,92,"2",139,8,"Female"
82,65,"2",140,12,"Male"
79,68,"2",141,14,"Female"
98,92,"2",142,8,"Male"
64,62,"2",143,12,"Female"
93,95,"2",144,11,"Female"
72,56,"2",145,9,"Female"
85,69,"2",146,6,"Female"
60,72,"2",147,6,"Female"
61,57,"2",148,8,"Male"
87,76,"2",149,10,"Female"
75,73,"2",150,6,"Male"
