ID,AgeBracket,SAB,Gender,Ethnicity,Education,Perfectionism,SelfConstrual,AGQ
1,1,1,,Other white ethnic group,Undergraduate Degree,45,141,59
2,1,1,,Other British,"Postgraduate Qualification, Masters",45,162,55
3,1,1,,Other British,,36,136,62
5,1,1,1,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",51,140,99
6,,1,1,Other British,Undergraduate Degree,25,145,66
7,1,1,1,Irish,Undergraduate Degree,45,133,73
8,1,1,1,"Indian, Indian Scottish or Indian British",Undergraduate Degree,49,135,76
9,,1,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",34,141,68
10,,1,1,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,47,154,91
11,1,1,4,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,61,141,110
12,1,1,1,Other British,Undergraduate Degree,36,119,66
13,1,1,1,,,47,150,129
14,1,1,1,Other British,Undergraduate Degree,59,146,95
15,1,2,3,Other British,Undergraduate Degree,30,131,52
16,2,1,1,"Caribbean, Caribbean Scottish or Caribbean British",Undergraduate Degree,55,149,88
19,1,1,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,56,142,87
20,2,1,1,Other (not listed),"Postgraduate Qualification, Masters",37,135,65
21,2,1,1,Other white ethnic group,"Postgraduate Qualification, Masters",48,144,115
22,1,1,1,"Indian, Indian Scottish or Indian British",Undergraduate Degree,39,138,60
23,2,1,1,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",47,155,127
24,1,1,1,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,54,146,77
25,1,1,1,Other (not listed),,55,156,97
26,1,1,,Other British,Undergraduate Degree,42,154,45
27,2,1,,Mixed or Multiple Ethnic Groups,PhD or other professional qualification,55,140,77
28,1,1,1,Other British,"Postgraduate Qualification, Masters",33,141,83
29,1,1,1,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",61,149,93
30,2,1,1,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",40,132,61
31,1,1,1,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,59,120,123
32,,1,1,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,48,132,127
33,1,1,1,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,37,152,72
34,1,1,1,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,51,160,103
35,1,1,,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",61,130,105
36,1,1,1,"Indian, Indian Scottish or Indian British",Undergraduate Degree,50,136,75
37,1,1,,Other (not listed),Undergraduate Degree,64,128,120
38,1,1,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,33,148,89
39,1,1,1,Mixed or Multiple Ethnic Groups,Undergraduate Degree,51,138,99
40,1,1,1,Scottish,"Postgraduate Qualification, Masters",49,130,92
41,2,2,,Other white ethnic group,"Postgraduate Qualification, Masters",17,143,43
42,1,1,1,Other (not listed),Undergraduate Degree,32,132,78
43,1,1,,Mixed or Multiple Ethnic Groups,Undergraduate Degree,46,136,66
44,1,1,1,Other white ethnic group,Undergraduate Degree,38,132,70
45,1,1,1,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",22,128,114
46,1,1,1,Other (not listed),"Postgraduate Qualification, Masters",36,127,103
47,1,1,1,Other (not listed),Undergraduate Degree,51,136,109
50,1,1,1,"Arab, Arab Scottish or Arab British","Postgraduate Qualification, Masters",38,136,55
