Age,Gender,ScreenTime,Sleep,Attention
6,M,1.89,67.07,69
5,F,8.28,73.01,69
8,M,15.63,79.89,73
10,F,14.88,61.94,64
10,F,6.04,65.48,62
4,F,18.41,64.15,69
7,F,27.26,66.73,56
7,F,4.18,79.71,70
7,F,12.03,76.12,72
6,F,21.2,61.06,71
8,F,10.19,67.8,72
4,M,16.07,77.29,75
6,M,10.59,71.57,69
10,M,4.21,75.36,71
7,M,1.55,76.98,69
5,F,6.82,72.71,64
10,F,13.38,72.47,74
6,M,7.29,78.07,73
7,M,11.69,73.46,77
7,F,7.73,57.88,66
6,F,16.27,73.05,64
8,F,1.38,73.72,76
9,F,21.69,54.24,62
10,M,6.33,75.63,72
9,M,16.8,68.32,60
7,M,19.27,61.3,62
7,F,9.26,79.86,69
5,F,8.15,68.65,65
6,F,16.15,66.75,63
6,M,13.77,72.65,67
6,F,17.29,62.95,66
7,F,13.02,75.98,78
8,F,23.22,64.56,67
8,M,7.82,79.14,77
7,M,14.25,64.74,58
7,M,7.22,71.8,67
10,F,8.93,75.09,68
9,M,17.05,74.38,61
5,F,7.57,76.48,73
6,M,4.32,68.44,61
9,F,17.44,64.29,64
5,F,11.17,69.68,70
6,M,9.74,89.09,78
9,M,19.73,65.29,65
9,F,3.23,75.03,67
5,F,12.39,77.71,76
7,M,8.13,71.84,72
9,M,10.17,68.39,67
8,F,10.44,76.86,69
7,F,10.63,75.61,76
7,M,10.05,73.11,69
7,F,11.01,65.6,60
8,F,11.13,72.84,66
8,F,13.73,66.32,63
7,F,7.42,68.53,60
5,M,9.24,80.85,76
8,F,9.48,69.34,70
7,M,16.69,69.06,62
5,F,16.48,65.73,66
7,F,9.51,69.29,69
8,F,9.76,66.77,64
5,F,15.08,60.01,61
8,M,10.45,63.3,61
9,M,19.42,70.54,67
10,F,24.72,65.65,67
7,F,9.96,77.92,74
8,F,15.67,71.54,61
5,F,18.24,62.11,72
5,F,19.23,63.6,68
9,M,13.08,70.59,73
4,M,20.64,58.82,68
7,M,15.62,61.5,61
5,F,9.54,70.51,71
8,F,14.46,72.35,65
9,F,3.33,69.94,66
6,F,22.73,57.09,67
7,M,17.93,60.81,70
8,M,11.75,67.04,68
9,M,16.17,69.93,62
9,F,18.22,67.79,75
7,F,15.22,74.48,62
9,M,23.12,73.86,60
10,F,1.63,72.7,67
6,M,2.22,88.09,71
9,M,6.03,61.28,72
8,F,3.59,72.99,71
4,F,11.13,70.52,70
8,F,15.4,76.75,59
8,M,8.75,67.61,74
5,F,15,64.28,63
7,F,4.71,61.56,67
7,M,9.35,80.43,72
4,F,16.59,63.99,58
4,F,11.51,80.32,67
8,M,4.57,72,66
4,M,13.8,70.11,74
8,F,9.77,76.55,72
8,F,3.47,69.83,73
9,M,6.17,82.56,72
10,M,11.79,67.48,71
9,M,7.61,71.5,73
8,M,15.66,68.57,68
8,F,0,83.51,75
5,M,9.94,78.85,71
10,M,15.64,68.24,70
4,M,13.44,74.56,75
9,M,18.27,70.33,59
4,M,17.33,64.49,68
7,F,8.04,76.58,72
5,F,3,76.97,73
9,M,20.53,68.4,67
7,M,11.89,79.86,64
5,M,12.23,71.82,65
5,F,11.2,67.61,69
5,F,2.79,71.94,67
4,F,9.31,80.67,70
5,F,10.99,67.42,62
6,F,2,66.72,68
5,M,2.24,81.5,78
7,F,16.06,68.16,68
6,F,8.88,68.87,68
6,M,17.39,71.64,68
